"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Scorcia V.; Giannaccare G.; Pellegrini M.; Camposampiero D.; Ponzin D.; Yu A.C.; Busin M.","Scorcia, Vincenzo (24554546300); Giannaccare, Giuseppe (55753474700); Pellegrini, Marco (57200399011); Camposampiero, Davide (6506973043); Ponzin, Diego (6603422101); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383)","24554546300; 55753474700; 57200399011; 6506973043; 6603422101; 57216633741; 57205977383","Stromal peeling for deep anterior lamellar keratoplasty in a post-penetrating keratoplasty eye with hematocornea","2023","American Journal of Ophthalmology Case Reports","29","","101808","","","","4","10.1016/j.ajoc.2023.101808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147377678&doi=10.1016%2fj.ajoc.2023.101808&partnerID=40&md5=b0536d1d491b2d1ad6e239d34be7cab9","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147377678"
"Busin M.; Santoro M.M.; Weiss J.S.","Busin, Massimo (57205977383); Santoro, Massimo M. (57202725135); Weiss, Jayne S. (57208156882)","57205977383; 57202725135; 57208156882","Peripheral Center Sparing Presentation of Schnyder Corneal Dystrophy","2024","Ophthalmology","131","8","","997","","","0","10.1016/j.ophtha.2023.09.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174695962&doi=10.1016%2fj.ophtha.2023.09.024&partnerID=40&md5=6221e1631738eba5b71033c0b9adfa87","Note","Final","","Scopus","2-s2.0-85174695962"
"Weiss J.S.; Rapuano C.J.; Seitz B.; Busin M.; Kivelä T.T.; Bouheraoua N.; Bredrup C.; Nischal K.K.; Chawla H.; Borderie V.; Kenyon K.R.; Kim E.K.; Møller H.U.; Munier F.L.; Berger T.; Lisch W.","Weiss, Jayne S. (57208156882); Rapuano, Christopher J. (7005117622); Seitz, Berthold (57203053329); Busin, Massimo (57205977383); Kivelä, Tero T. (57205863721); Bouheraoua, Nacim (55362087700); Bredrup, Cecilie (6506958670); Nischal, Ken K. (35513927200); Chawla, Harshvardhan (59865501100); Borderie, Vincent (7004566019); Kenyon, Kenneth R. (7102208346); Kim, Eung Kweon (25652020400); Møller, Hans Ulrik (57211769186); Munier, Francis L. (7007024528); Berger, Tim (57221562936); Lisch, Walter (7004396111)","57208156882; 7005117622; 57203053329; 57205977383; 57205863721; 55362087700; 6506958670; 35513927200; 59865501100; 7004566019; 7102208346; 25652020400; 57211769186; 7007024528; 57221562936; 7004396111","IC3D Classification of Corneal Dystrophies - Edition 3","2024","Cornea","43","4","","466","527","61","47","10.1097/ICO.0000000000003420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186748266&doi=10.1097%2fICO.0000000000003420&partnerID=40&md5=db5fa57e10d4378a88d657637bd13868","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85186748266"
"Gunasekera C.D.; Yu A.C.; Busin M.","Gunasekera, Chrishan Duminda (56703125100); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383)","56703125100; 57216633741; 57205977383","Twenty-Two-Year Clinical Outcome of a Case of Endokeratoplasty","2022","Cornea","41","10","","1311","1312","1","0","10.1097/ICO.0000000000003014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138445012&doi=10.1097%2fICO.0000000000003014&partnerID=40&md5=9acd7927d9701e3345e8dffb261e6566","Article","Final","","Scopus","2-s2.0-85138445012"
"Busin M.; Giannaccare G.; Myerscough J.; Bovone C.; Scorcia V.; Campos E.C.","Busin, Massimo (57205977383); Giannaccare, Giuseppe (55753474700); Myerscough, James (56155557300); Bovone, Cristina (24476942500); Scorcia, Vincenzo (24554546300); Campos, Emilio C. (57190684719)","57205977383; 55753474700; 56155557300; 24476942500; 24554546300; 57190684719","Donor-to-host transmission of infection: contrasting outcomes of lamellar and penetrating keratoplasty","2020","Transplant International","33","4","","462","464","2","3","10.1111/tri.13578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079033150&doi=10.1111%2ftri.13578&partnerID=40&md5=1ec8391675005ccf78721ef3ea62d130","Letter","Final","","Scopus","2-s2.0-85079033150"
"Salgari N.; Yu A.C.; Panariello S.; De Rosa L.; Busin M.","Salgari, Niccolò (56040111200); Yu, Angeli Christy (57216633741); Panariello, Serena (59721284900); De Rosa, Luigi (56324554500); Busin, Massimo (57205977383)","56040111200; 57216633741; 59721284900; 56324554500; 57205977383","In vivo confocal microscopy confirms the presence of new predescemetic cellular layer in post-penetrating keratoplasty buttons","2025","British Journal of Ophthalmology","109","7","","742","746","4","0","10.1136/bjo-2024-326878","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001720291&doi=10.1136%2fbjo-2024-326878&partnerID=40&md5=5ec44fd378081305ac21c4af007345eb","Article","Final","","Scopus","2-s2.0-105001720291"
"Pellegrini M.; Mura M.; Yu A.C.; Spena R.; Busin M.; Bovone C.","Pellegrini, Marco (57200399011); Mura, Marco (57208548443); Yu, Angeli Christy (57216633741); Spena, Rossella (57202377384); Busin, Massimo (57205977383); Bovone, Cristina (24476942500)","57200399011; 57208548443; 57216633741; 57202377384; 57205977383; 24476942500","Reply","2024","Ophthalmology Retina","8","10","","e28","","","0","10.1016/j.oret.2024.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202996542&doi=10.1016%2fj.oret.2024.07.006&partnerID=40&md5=3f1c0a93f388b84c0b7abb84d7b0f141","Letter","Final","","Scopus","2-s2.0-85202996542"
"Leon P.; Parekh M.; Nahum Y.; Mimouni M.; Giannaccare G.; Sapigni L.; Ruzza A.; Busin M.","Leon, Pia (56900808700); Parekh, Mohit (54795700400); Nahum, Yoav (23493152000); Mimouni, Michael (56351846100); Giannaccare, Giuseppe (55753474700); Sapigni, Laura (57196044574); Ruzza, Alessandro (8681862500); Busin, Massimo (57205977383)","56900808700; 54795700400; 23493152000; 56351846100; 55753474700; 57196044574; 8681862500; 57205977383","Factors Associated With Early Graft Detachment in Primary Descemet Membrane Endothelial Keratoplasty","2018","American Journal of Ophthalmology","187","","","117","124","7","70","10.1016/j.ajo.2017.12.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041407271&doi=10.1016%2fj.ajo.2017.12.014&partnerID=40&md5=e634c72d730b9aec04e55654cd354382","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85041407271"
"Kilian R.; Pellegrini M.; Yu A.C.; De Ruvo V.; Salgari N.; Busin M.","Kilian, Raphael (57224919531); Pellegrini, Marco (57200399011); Yu, Angeli Christy (57216633741); De Ruvo, Valentino (57217823486); Salgari, Niccolò (56040111200); Busin, Massimo (57205977383)","57224919531; 57200399011; 57216633741; 57217823486; 56040111200; 57205977383","Outcomes of staged conjunctival flap and corneal transplantation for infectious keratitis resistant to medical treatment","2025","British Journal of Ophthalmology","109","5","","561","564","3","0","10.1136/bjo-2024-326225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213886026&doi=10.1136%2fbjo-2024-326225&partnerID=40&md5=c82184fd1e7671e4e125f9408dcadcad","Article","Final","","Scopus","2-s2.0-85213886026"
"Pellegrini M.; Furiosi L.; Yu A.C.; Giannaccare G.; Scuteri G.; Gardeli I.; Busin M.; Bovone C.; Spena R.","Pellegrini, Marco (57200399011); Furiosi, Luca (57217492848); Yu, Angeli Christy (57216633741); Giannaccare, Giuseppe (55753474700); Scuteri, Gianfranco (57218706423); Gardeli, Ioanna (57435770200); Busin, Massimo (57205977383); Bovone, Cristina (24476942500); Spena, Rossella (57202377384)","57200399011; 57217492848; 57216633741; 55753474700; 57218706423; 57435770200; 57205977383; 24476942500; 57202377384","Outcomes of cataract surgery with toric intraocular lens implantation after keratoplasty","2022","Journal of Cataract and Refractive Surgery","48","2","","157","161","4","17","10.1097/j.jcrs.0000000000000730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120503900&doi=10.1097%2fj.jcrs.0000000000000730&partnerID=40&md5=a64b3e9cd1fe48b9aec05074c9ed5512","Article","Final","","Scopus","2-s2.0-85120503900"
"Leon P.; Parekh M.; Nahum Y.; Mimouni M.; Giannaccare G.; Sapigni L.; Ruzza A.; Busin M.","Leon, Pia (56900808700); Parekh, Mohit (54795700400); Nahum, Yoav (23493152000); Mimouni, Michael (56351846100); Giannaccare, Giuseppe (55753474700); Sapigni, Laura (57196044574); Ruzza, Alessandro (8681862500); Busin, Massimo (57205977383)","56900808700; 54795700400; 23493152000; 56351846100; 55753474700; 57196044574; 8681862500; 57205977383","Reply","2018","American Journal of Ophthalmology","192","","","250","251","1","0","10.1016/j.ajo.2018.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050333868&doi=10.1016%2fj.ajo.2018.05.011&partnerID=40&md5=8c8bccb2c7ce518fd350b243d6095e81","Letter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85050333868"
"Parekh M.; Ferrari S.; Romano V.; Myerscough J.; Jones G.L.A.; Griffoni C.; Ahmad S.; Feltrin G.; Busin M.; Ponzin D.","Parekh, Mohit (54795700400); Ferrari, Stefano (57190211074); Romano, Vito (25960336600); Myerscough, James (56155557300); Jones, Gary LA (55715900800); Griffoni, Carlo (35214676100); Ahmad, Sajjad (36150469600); Feltrin, Giuseppe (36966183000); Busin, Massimo (57205977383); Ponzin, Diego (6603422101)","54795700400; 57190211074; 25960336600; 56155557300; 55715900800; 35214676100; 36150469600; 36966183000; 57205977383; 6603422101","Impact of COVID-19 on corneal donation and distribution","2022","European Journal of Ophthalmology","32","1","","NP269","NP270","1","13","10.1177/1120672120948746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089199074&doi=10.1177%2f1120672120948746&partnerID=40&md5=8f3497a875846a2be5c27d5ea1aa3238","Letter","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85089199074"
"Beltz J.; Madi S.; Nahum Y.; Santorum P.; Busin M.","Beltz, Jacqueline (25937133800); Madi, Silvana (55250459000); Nahum, Yoav (23493152000); Santorum, Paolo (55251110300); Busin, Massimo (57205977383)","25937133800; 55250459000; 23493152000; 55251110300; 57205977383","Descemet stripping automated endothelial keratoplasty in phakic eyes: Incision modification reducing cataract formation","2018","International Journal of Ophthalmology","11","1","","53","57","4","5","10.18240/ijo.2018.01.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040982857&doi=10.18240%2fijo.2018.01.10&partnerID=40&md5=cce73b8bf9eb5c6ad28343432f22ae93","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85040982857"
"Pellegrini M.; Yu A.C.; Busin M.","Pellegrini, Marco (57200399011); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383)","57200399011; 57216633741; 57205977383","Large-Diameter Modified Big-Bubble Deep Anterior Lamellar Keratoplasty in Post–Radial Keratotomy Eyes","2023","American Journal of Ophthalmology","251","","","1","4","3","5","10.1016/j.ajo.2022.12.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151546612&doi=10.1016%2fj.ajo.2022.12.012&partnerID=40&md5=b7d44994515963a3e9fa01e49ea0415e","Article","Final","","Scopus","2-s2.0-85151546612"
"Piccinelli N.; Haide L.; Briel M.; Jungo A.; Tagliabue E.; Da Col T.; Schmid M.; Sznitman R.; Pellegrini M.; Christy Yu A.; Busin M.; Mura M.; Muradore R.; Kronreif G.","Piccinelli, Nicola (57205375915); Haide, Ludwig (58546979000); Briel, Marius (59556556300); Jungo, Alain (57204147994); Tagliabue, Eleonora (57209144532); Da Col, Tommaso (57214989734); Schmid, Moritz (59530906500); Sznitman, Raphael (36100657400); Pellegrini, Marco (57200399011); Christy Yu, Angeli (60057472700); Busin, Massimo (57205977383); Mura, Marco (57208548443); Muradore, Riccardo (14827262300); Kronreif, Gernot (6507889650)","57205375915; 58546979000; 59556556300; 57204147994; 57209144532; 57214989734; 59530906500; 36100657400; 57200399011; 60057472700; 57205977383; 57208548443; 14827262300; 6507889650","GEYEDANCE: An OCT-Enhanced Multi-Modal Feedback Platform for Robot-Assisted Ophthalmic Surgery","2025","IEEE Transactions on Medical Robotics and Bionics","7","3","","1017","1028","11","1","10.1109/TMRB.2025.3583133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009510139&doi=10.1109%2fTMRB.2025.3583133&partnerID=40&md5=018c96cb2399a1a3f78eb796bd0a6fca","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009510139"
"Bovone C.; De Rosa L.; Pellegrini M.; Ruzza A.; Ferrari S.; Camposampiero D.; Ponzin D.; Zauli G.; Yu A.C.; Busin M.","Bovone, Cristina (24476942500); De Rosa, Luigi (56324554500); Pellegrini, Marco (57200399011); Ruzza, Alessandro (8681862500); Ferrari, Stefano (57190211074); Camposampiero, Davide (6506973043); Ponzin, Diego (6603422101); Zauli, Giorgio (7006419422); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383)","24476942500; 56324554500; 57200399011; 8681862500; 57190211074; 6506973043; 6603422101; 7006419422; 57216633741; 57205977383","Deep Anterior Lamellar Keratoplasty Using Dehydrated versus Standard Organ Culture-Stored Donor Corneas: Prospective Randomized Trial","2024","Ophthalmology","131","6","","674","681","7","1","10.1016/j.ophtha.2023.12.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184784061&doi=10.1016%2fj.ophtha.2023.12.027&partnerID=40&md5=b4770815c6cd50a52fa5639b36604776","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184784061"
"Spena R.; Bovone C.; Ciarmatori N.; Pellegrini M.; Yu A.C.; Zauli G.; Busin M.","Spena, Rossella (57202377384); Bovone, Cristina (24476942500); Ciarmatori, Nicolò (57211452995); Pellegrini, Marco (57200399011); Yu, Angeli Christy (57216633741); Zauli, Giorgio (7006419422); Busin, Massimo (57205977383)","57202377384; 24476942500; 57211452995; 57200399011; 57216633741; 7006419422; 57205977383","Microsporidial Stromal Keratitis in Post-Keratoplasty Eyes","2023","Journal of Clinical Medicine","12","11","3706","","","","1","10.3390/jcm12113706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161348827&doi=10.3390%2fjcm12113706&partnerID=40&md5=e40a904cc5c629197e7678a7d05870b4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85161348827"
"Friehmann A.; Myerscough J.; Giannaccare G.; Mazzoni M.; Bovone C.; Busin M.","Friehmann, Asaf (57195409883); Myerscough, James (56155557300); Giannaccare, Giuseppe (55753474700); Mazzoni, Maria (57212799162); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57195409883; 56155557300; 55753474700; 57212799162; 24476942500; 57205977383","Successful Descemet membrane endothelial keratoplasty in proven herpetic endothelial decompensation requires intensive antiviral therapy","2020","Cornea","39","2","","196","199","3","8","10.1097/ico.0000000000002215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077402521&doi=10.1097%2fico.0000000000002215&partnerID=40&md5=b2a8eb8df94665cacdfc08574fb4eb1c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85077402521"
"Yu A.C.; Sollazzo A.; Bovone C.; Busin M.","Yu, Angeli Christy (57216633741); Sollazzo, Andrea (57273851400); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57216633741; 57273851400; 24476942500; 57205977383","Large-diameter deep anterior lamellar keratoplasty: A narrative review","2024","Taiwan Journal of Ophthalmology","14","1","","27","33","6","2","10.4103/tjo.TJO-D-23-00161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212645889&doi=10.4103%2ftjo.TJO-D-23-00161&partnerID=40&md5=ae87edff0c796b5a92f8269da052fd97","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85212645889"
"De Rosa L.; Furiosi L.; Pellegrini M.; Yu A.C.; Scorcia V.; Busin M.","De Rosa, Luigi (56324554500); Furiosi, Luca (57217492848); Pellegrini, Marco (57200399011); Yu, Angeli Christy (57216633741); Scorcia, Vincenzo (24554546300); Busin, Massimo (57205977383)","56324554500; 57217492848; 57200399011; 57216633741; 24554546300; 57205977383","Prospective randomized clinical trial evaluating efficacy and safety of a new ophthalmic viscosurgical device in patients undergoing cataract surgery","2024","Journal of Cataract and Refractive Surgery","50","9","","906","911","5","0","10.1097/j.jcrs.0000000000001473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202181500&doi=10.1097%2fj.jcrs.0000000000001473&partnerID=40&md5=d0e485929a4476b4f6f990b796d63586","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85202181500"
"Ravera V.; Bovone C.; Scorcia V.; D'Angelo S.; Busin M.","Ravera, Vittoria (57192265179); Bovone, Cristina (24476942500); Scorcia, Vincenzo (24554546300); D'Angelo, Sergio (7004818616); Busin, Massimo (57205977383)","57192265179; 24476942500; 24554546300; 7004818616; 57205977383","Reply","2019","Cornea","38","11","","E53","E54","1","0","10.1097/ICO.0000000000002100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072849069&doi=10.1097%2fICO.0000000000002100&partnerID=40&md5=16123ef2337745dd1ac723f0c8930f87","Letter","Final","","Scopus","2-s2.0-85072849069"
"Myerscough J.; Bovone C.; Scorcia V.; Ricci-Filipovic B.; Leon P.; Mimouni M.; Nahum Y.; Busin M.","Myerscough, James (56155557300); Bovone, Cristina (24476942500); Scorcia, Vincenzo (24554546300); Ricci-Filipovic, Benedetta (57193112568); Leon, Pia (56900808700); Mimouni, Michael (56351846100); Nahum, Yoav (23493152000); Busin, Massimo (57205977383)","56155557300; 24476942500; 24554546300; 57193112568; 56900808700; 56351846100; 23493152000; 57205977383","Deep Trephination Allows High Rates of Successful Pneumatic Dissection for DALK Independent of Surgical Experience","2019","Cornea","38","5","","645","647","2","12","10.1097/ICO.0000000000001881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063977279&doi=10.1097%2fICO.0000000000001881&partnerID=40&md5=81002b10ae864f80b987e01e1f3a86cb","Conference paper","Final","","Scopus","2-s2.0-85063977279"
"Fucito M.; Spedicato M.; Felletti S.; Yu A.C.; Busin M.; Pasti L.; Franchina F.A.; Cavazzini A.; De Luca C.; Catani M.","Fucito, Maurine (57474017700); Spedicato, Matteo (58685815200); Felletti, Simona (57193315531); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383); Pasti, Luisa (6701744725); Franchina, Flavio A. (55058932400); Cavazzini, Alberto (6701901334); De Luca, Chiara (57200270383); Catani, Martina (56585589100)","57474017700; 58685815200; 57193315531; 57216633741; 57205977383; 6701744725; 55058932400; 6701901334; 57200270383; 56585589100","A Look into Ocular Diseases: The Pivotal Role of Omics Sciences in Ophthalmology Research","2024","ACS Measurement Science Au","4","3","","247","259","12","9","10.1021/acsmeasuresciau.3c00067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186245055&doi=10.1021%2facsmeasuresciau.3c00067&partnerID=40&md5=ccebb3a0fbf791d4db1a97e282d8e3a0","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85186245055"
